Title,Authors,Journal,Year,PMID
Cerebrospinal fluid exosomal Epstein-Barr virus microRNAs in multiple sclerosis and effects of disease modifying therapies,"Hvalkof, VH; Hansen, MB; El Mahdaoui, S; Hansen, MM; Christensen, JR; Buhelt, S; Sellebjerg, F; Søndergaard, HB",Clinical Immunology,2025,41083036
Central nervous system B-cell lymphoma in a patient diagnosed with chronic lymphocytic inflammation with pontine perivascular enhancement responsive to steroids: A case report,"Koumasopoulos, E; Spiteri, E; Vakrakou, AG; Toulas, P; Velonakis, G; Stranjalis, G; Stefanis, L; Evangelopoulos, M; Anagnostouli, M",SAGE Open Medical Case Reports,2025,
Causal effect of infectious mononucleosis on neurodegenerative diseases: A Mendelian randomization study,"Peng, S; Ouyang, J; Liu, Y; Wang, L; Liu, R",Medicine,2025,40898457
Broad-spectrum antiviral brincidofovir inhibits Epstein-Barr virus and related gammaherpesvirus in human and nonhuman primate cells,"Donaldson, A; Druker, MR … Piotrowski, SL; Jacobson, S",Journal of Clinical Investigation,2025,
Broad Analysis of Serum and Intrathecal Antimicrobial Antibodies in Multiple Sclerosis Underscores Unique Role of Epstein-Barr Virus,"Pache, F; Otto, C; Wilken, D; Lietzow, T; Steinhagen, K; Grage-Griebenow, E; Schindler, P; Niederschweiberer, M; Wildemann, B; Jarius, S; Ruprecht, K",Neurology Neuroimmunology & Neuroinflammation,2025,39602676
Autologous haematopoietic stem cell transplantation for multiple sclerosis in the UK: A 20‐year retrospective analysis of activity and haematological outcomes from the British Society of Blood and Marrow Transplantation and Cellular Therapy (BSBMTCT),"Kazmi, M; Muraro, PA … Sharrack, B; Snowden, JA",British Journal of Haematology,2025,
Autologous Stem Cell Transplantation for Multiple Sclerosis.,"Condamoor, S; Vittayawacharin, P; Sy, M; Kongtim, P; Ciurea, SO",Transplantation and cellular therapy,2025,41482159
Autoimmune responses to myelin-associated proteins as diagnostic and prognostic biomarkers of relapsing-remitting multiple sclerosis: Associations with human herpesvirus-6 and Epstein-Barr virus reactivation,"Vojdani, A; Almulla, AF; Vojdani, E; Li, J; Zhang, Y; Maes, M",Journal of Advanced Research,2025,39965730
Associations between past infectious mononucleosis diagnosis and 47 inflammatory and vascular stress biomarkers,"Kristjánsson, RP; Dietz, JB … Hansen, TF; Hjalgrim, H",Scientific Reports,2025,40175486
"Apheresis for the treatment of relapses in MS and NMOSD: reduced antibody reactivities, gene expression changes and potential clinical response indicators","Hecker, M; Fitzner, B … Koczan, D; Zettl, UK",Frontiers in Immunology,2025,
Antinuclear antibodies in early multiple sclerosis reflect systemic lupus erythematosus shared risk factors,"Corsten, CEA; Marques, AM; Masmanidou, D; Ikram, MK; van Luijn, MM; Wokke, B; Smolders, J",Scientific Reports,2025,41006414
Antibody reactivity against EBNA1 and GlialCAM differentiates multiple sclerosis patients from healthy controls,"Sattarnezhad, N; Kockum, I … Olsson, T; Lanz, TV",Proceedings of the National Academy of Sciences,2025,
Antibody index (cerebrospinal fluid/serum) of the Epstein-Barr virus in patients with demyelinating disease,"Costa-Neto, JB; Kaefer, M; Freitas, TdPMM; Ciceri, ACM; Casal, LB; Lopes, BS; Arruda-Filho, VMd; de Carvalho, JAM; Paniz, C",Multiple Sclerosis and Related Disorders,2025,
